Request_id,Pickup_point,Driver id,Status,Request_timestamp,Drop_timestamp,Request_date,Request_time,Drop_date,Drop_time,Request_hour,Request_day,Time_slot,Trip_completed
2064,Airport,10,Trip Completed,12-07-2016 15:08,12-07-2016 16:14,12-07-2016,15:08:00,12-07-2016,16:14:00,15,Tuesday,Afternoon,TRUE
3210,City,10,Trip Completed,13-07-2016 09:47,13-07-2016 10:52,13-07-2016,09:47:06,13-07-2016,10:52:37,9,Wednesday,Morning,TRUE
4350,City,10,Trip Completed,14-07-2016 07:24,14-07-2016 08:22,14-07-2016,07:24:43,14-07-2016,08:22:09,7,Thursday,Early Morning,TRUE
4713,City,10,Trip Completed,14-07-2016 13:31,14-07-2016 14:10,14-07-2016,13:31:24,14-07-2016,14:10:56,13,Thursday,Afternoon,TRUE
5629,Airport,10,Trip Completed,15-07-2016 06:33,15-07-2016 07:19,15-07-2016,06:33:00,15-07-2016,07:19:53,6,Friday,Early Morning,TRUE
6157,Airport,10,Trip Completed,15-07-2016 16:32,15-07-2016 17:44,15-07-2016,16:32:51,15-07-2016,17:44:44,16,Friday,Evening,TRUE
2030,City,11,Trip Completed,12-07-2016 14:11,12-07-2016 15:02,12-07-2016,14:11:00,12-07-2016,15:02:00,14,Tuesday,Afternoon,TRUE
3226,City,11,Trip Completed,13-07-2016 10:00,13-07-2016 11:02,13-07-2016,10:00:17,13-07-2016,11:02:52,10,Wednesday,Morning,TRUE
3353,City,11,Trip Completed,13-07-2016 13:29,13-07-2016 14:09,13-07-2016,13:29:44,13-07-2016,14:09:00,13,Wednesday,Afternoon,TRUE
4293,City,11,Trip Completed,14-07-2016 06:42,14-07-2016 07:12,14-07-2016,06:42:36,14-07-2016,07:12:41,6,Thursday,Early Morning,TRUE
4936,City,11,Trip Completed,14-07-2016 18:22,14-07-2016 19:14,14-07-2016,18:22:17,14-07-2016,19:14:36,18,Thursday,Evening,TRUE
5661,Airport,11,Trip Completed,15-07-2016 07:08,15-07-2016 07:59,15-07-2016,07:08:50,15-07-2016,07:59:00,7,Friday,Early Morning,TRUE
5778,City,11,Trip Completed,15-07-2016 08:22,15-07-2016 09:13,15-07-2016,08:22:03,15-07-2016,09:13:04,8,Friday,Morning,TRUE
6425,Airport,11,Trip Completed,15-07-2016 19:46,15-07-2016 20:26,15-07-2016,19:46:40,15-07-2016,20:26:51,19,Friday,Evening,TRUE
45,Airport,12,Trip Completed,11-07-2016 03:17,11-07-2016 04:09,11-07-2016,03:17:00,11-07-2016,04:09:00,3,Monday,Late Night,TRUE
264,City,12,Trip Completed,11-07-2016 06:51,11-07-2016 07:40,11-07-2016,06:51:00,11-07-2016,07:40:00,6,Monday,Early Morning,TRUE
1183,City,12,Trip Completed,11-07-2016 21:05,11-07-2016 21:38,11-07-2016,21:05:00,11-07-2016,21:38:00,21,Monday,Night,TRUE
1536,Airport,12,Trip Completed,12-07-2016 05:59,12-07-2016 06:59,12-07-2016,05:59:00,12-07-2016,06:59:00,5,Tuesday,Early Morning,TRUE
2437,City,12,Trip Completed,12-07-2016 20:18,12-07-2016 21:26,12-07-2016,20:18:00,12-07-2016,21:26:00,20,Tuesday,Night,TRUE
2641,Airport,12,Trip Completed,12-07-2016 22:28,12-07-2016 23:05,12-07-2016,22:28:00,12-07-2016,23:05:00,22,Tuesday,Night,TRUE
4077,Airport,12,Trip Completed,14-07-2016 02:14,14-07-2016 03:13,14-07-2016,02:14:15,14-07-2016,03:13:09,2,Thursday,Late Night,TRUE
4610,City,12,Trip Completed,14-07-2016 10:35,14-07-2016 11:39,14-07-2016,10:35:14,14-07-2016,11:39:01,10,Thursday,Morning,TRUE
5066,Airport,12,Trip Completed,14-07-2016 19:31,14-07-2016 20:14,14-07-2016,19:31:20,14-07-2016,20:14:03,19,Thursday,Evening,TRUE
5666,Airport,12,Trip Completed,15-07-2016 07:04,15-07-2016 08:12,15-07-2016,07:04:55,15-07-2016,08:12:37,7,Friday,Early Morning,TRUE
5923,City,12,Trip Completed,15-07-2016 10:07,15-07-2016 10:50,15-07-2016,10:07:49,15-07-2016,10:50:50,10,Friday,Morning,TRUE
6367,City,12,Trip Completed,15-07-2016 19:04,15-07-2016 19:46,15-07-2016,19:04:46,15-07-2016,19:46:04,19,Friday,Evening,TRUE
155,City,13,Trip Completed,11-07-2016 05:32,11-07-2016 06:28,11-07-2016,05:32:00,11-07-2016,06:28:00,5,Monday,Early Morning,TRUE
310,Airport,13,Trip Completed,11-07-2016 07:24,11-07-2016 08:28,11-07-2016,07:24:00,11-07-2016,08:28:00,7,Monday,Early Morning,TRUE
607,City,13,Trip Completed,11-07-2016 11:51,11-07-2016 12:42,11-07-2016,11:51:00,11-07-2016,12:42:00,11,Monday,Morning,TRUE
1012,City,13,Trip Completed,11-07-2016 19:15,11-07-2016 19:57,11-07-2016,19:15:00,11-07-2016,19:57:00,19,Monday,Evening,TRUE
1696,Airport,13,Trip Completed,12-07-2016 08:01,12-07-2016 08:42,12-07-2016,08:01:00,12-07-2016,08:42:00,8,Tuesday,Morning,TRUE
3076,City,13,Trip Completed,13-07-2016 08:09,13-07-2016 09:12,13-07-2016,08:09:04,13-07-2016,09:12:19,8,Wednesday,Morning,TRUE
4198,Airport,13,Trip Completed,14-07-2016 05:32,14-07-2016 06:45,14-07-2016,05:32:14,14-07-2016,06:45:32,5,Thursday,Early Morning,TRUE
4627,City,13,Trip Completed,14-07-2016 11:13,14-07-2016 12:00,14-07-2016,11:13:19,14-07-2016,12:00:12,11,Thursday,Morning,TRUE
5289,City,13,Trip Completed,14-07-2016 21:43,14-07-2016 22:24,14-07-2016,21:43:24,14-07-2016,22:24:13,21,Thursday,Night,TRUE
5495,Airport,13,Trip Completed,15-07-2016 05:00,15-07-2016 06:02,15-07-2016,05:00:13,15-07-2016,06:02:27,5,Friday,Early Morning,TRUE
6656,Airport,13,Trip Completed,15-07-2016 22:08,15-07-2016 22:41,15-07-2016,22:08:42,15-07-2016,22:41:18,22,Friday,Night,TRUE
139,Airport,14,Trip Completed,11-07-2016 05:21,11-07-2016 06:09,11-07-2016,05:21:00,11-07-2016,06:09:00,5,Monday,Early Morning,TRUE
215,City,14,Trip Completed,11-07-2016 06:15,11-07-2016 07:07,11-07-2016,06:15:00,11-07-2016,07:07:00,6,Monday,Early Morning,TRUE
1816,City,14,Trip Completed,12-07-2016 09:24,12-07-2016 10:07,12-07-2016,09:24:00,12-07-2016,10:07:00,9,Tuesday,Morning,TRUE
2505,Airport,14,Trip Completed,12-07-2016 21:03,12-07-2016 22:14,12-07-2016,21:03:00,12-07-2016,22:14:00,21,Tuesday,Night,TRUE
3346,City,14,Trip Completed,13-07-2016 13:01,13-07-2016 13:55,13-07-2016,13:01:42,13-07-2016,13:55:59,13,Wednesday,Afternoon,TRUE
5294,City,14,Trip Completed,14-07-2016 21:45,14-07-2016 22:16,14-07-2016,21:45:50,14-07-2016,22:16:40,21,Thursday,Night,TRUE
6226,Airport,14,Trip Completed,15-07-2016 17:34,15-07-2016 18:33,15-07-2016,17:34:25,15-07-2016,18:33:13,17,Friday,Evening,TRUE
6733,Airport,14,Trip Completed,15-07-2016 23:32,16-07-2016 00:37,15-07-2016,23:32:44,16-07-2016,00:37:46,23,Friday,Night,TRUE
1027,Airport,15,Trip Completed,11-07-2016 19:18,11-07-2016 20:24,11-07-2016,19:18:00,11-07-2016,20:24:00,19,Monday,Evening,TRUE
2675,Airport,15,Trip Completed,12-07-2016 23:43,13-07-2016 00:35,12-07-2016,23:43:00,13-07-2016,00:35:12,23,Tuesday,Night,TRUE
3200,City,15,Trip Completed,13-07-2016 09:39,13-07-2016 10:30,13-07-2016,09:39:44,13-07-2016,10:30:58,9,Wednesday,Morning,TRUE
3865,City,15,Trip Completed,13-07-2016 21:52,13-07-2016 22:21,13-07-2016,21:52:05,13-07-2016,22:21:15,21,Wednesday,Night,TRUE
4468,City,15,Trip Completed,14-07-2016 08:42,14-07-2016 09:22,14-07-2016,08:42:46,14-07-2016,09:22:01,8,Thursday,Morning,TRUE
5163,Airport,15,Trip Completed,14-07-2016 20:34,14-07-2016 21:05,14-07-2016,20:34:30,14-07-2016,21:05:18,20,Thursday,Night,TRUE
6009,City,15,Trip Completed,15-07-2016 12:22,15-07-2016 13:25,15-07-2016,12:22:35,15-07-2016,13:25:27,12,Friday,Afternoon,TRUE
6448,Airport,15,Trip Completed,15-07-2016 20:02,15-07-2016 20:40,15-07-2016,20:02:54,15-07-2016,20:40:45,20,Friday,Night,TRUE
591,City,16,Trip Completed,11-07-2016 11:25,11-07-2016 12:31,11-07-2016,11:25:00,11-07-2016,12:31:00,11,Monday,Morning,TRUE
709,City,16,Trip Completed,11-07-2016 14:16,11-07-2016 15:03,11-07-2016,14:16:00,11-07-2016,15:03:00,14,Monday,Afternoon,TRUE
1167,Airport,16,Trip Completed,11-07-2016 20:50,11-07-2016 21:52,11-07-2016,20:50:00,11-07-2016,21:52:00,20,Monday,Night,TRUE
2661,Airport,16,Trip Completed,12-07-2016 23:23,13-07-2016 00:27,12-07-2016,23:23:00,13-07-2016,00:27:21,23,Tuesday,Night,TRUE
2808,City,16,Trip Completed,13-07-2016 05:05,13-07-2016 05:56,13-07-2016,05:05:16,13-07-2016,05:56:11,5,Wednesday,Early Morning,TRUE
3258,Airport,16,Trip Completed,13-07-2016 10:12,13-07-2016 10:45,13-07-2016,10:12:51,13-07-2016,10:45:28,10,Wednesday,Morning,TRUE
3413,Airport,16,Trip Completed,13-07-2016 15:32,13-07-2016 16:45,13-07-2016,15:32:01,13-07-2016,16:45:44,15,Wednesday,Afternoon,TRUE
3939,Airport,16,Trip Completed,13-07-2016 22:26,13-07-2016 22:55,13-07-2016,22:26:26,13-07-2016,22:55:54,22,Wednesday,Night,TRUE
4125,City,16,Trip Completed,14-07-2016 04:37,14-07-2016 05:46,14-07-2016,04:37:11,14-07-2016,05:46:29,4,Thursday,Early Morning,TRUE
4457,City,16,Trip Completed,14-07-2016 08:36,14-07-2016 09:19,14-07-2016,08:36:24,14-07-2016,09:19:20,8,Thursday,Morning,TRUE
4728,City,16,Trip Completed,14-07-2016 14:04,14-07-2016 15:06,14-07-2016,14:04:13,14-07-2016,15:06:40,14,Thursday,Afternoon,TRUE
5347,Airport,16,Trip Completed,14-07-2016 22:51,14-07-2016 23:53,14-07-2016,22:51:47,14-07-2016,23:53:42,22,Thursday,Night,TRUE
6147,City,16,Trip Completed,15-07-2016 16:11,15-07-2016 17:30,15-07-2016,16:11:02,15-07-2016,17:30:08,16,Friday,Evening,TRUE
6496,Airport,16,Trip Completed,15-07-2016 20:33,15-07-2016 21:32,15-07-2016,20:33:00,15-07-2016,21:32:49,20,Friday,Night,TRUE
634,City,17,Trip Completed,11-07-2016 12:25,11-07-2016 13:06,11-07-2016,12:25:00,11-07-2016,13:06:00,12,Monday,Afternoon,TRUE
939,Airport,17,Trip Completed,11-07-2016 18:25,11-07-2016 19:26,11-07-2016,18:25:00,11-07-2016,19:26:00,18,Monday,Evening,TRUE
2628,Airport,17,Trip Completed,12-07-2016 22:10,12-07-2016 23:25,12-07-2016,22:10:00,12-07-2016,23:25:00,22,Tuesday,Night,TRUE
3021,City,17,Trip Completed,13-07-2016 07:33,13-07-2016 08:26,13-07-2016,07:33:20,13-07-2016,08:26:07,7,Wednesday,Early Morning,TRUE
4743,City,17,Trip Completed,14-07-2016 14:54,14-07-2016 15:39,14-07-2016,14:54:16,14-07-2016,15:39:03,14,Thursday,Afternoon,TRUE
4981,City,17,Trip Completed,14-07-2016 18:47,14-07-2016 19:43,14-07-2016,18:47:42,14-07-2016,19:43:44,18,Thursday,Evening,TRUE
5367,Airport,17,Trip Completed,14-07-2016 23:35,15-07-2016 00:25,14-07-2016,23:35:34,15-07-2016,00:25:26,23,Thursday,Night,TRUE
5471,Airport,17,Trip Completed,15-07-2016 04:48,15-07-2016 05:47,15-07-2016,04:48:57,15-07-2016,05:47:13,4,Friday,Early Morning,TRUE
5988,Airport,17,Trip Completed,15-07-2016 11:48,15-07-2016 12:55,15-07-2016,11:48:32,15-07-2016,12:55:02,11,Friday,Morning,TRUE
6477,Airport,17,Trip Completed,15-07-2016 20:21,15-07-2016 21:00,15-07-2016,20:21:26,15-07-2016,21:00:31,20,Friday,Night,TRUE
499,City,18,Trip Completed,11-07-2016 09:39,11-07-2016 10:16,11-07-2016,09:39:00,11-07-2016,10:16:00,9,Monday,Morning,TRUE
1147,Airport,18,Trip Completed,11-07-2016 20:42,11-07-2016 21:18,11-07-2016,20:42:00,11-07-2016,21:18:00,20,Monday,Night,TRUE
1410,Airport,18,Trip Completed,12-07-2016 03:14,12-07-2016 04:27,12-07-2016,03:14:00,12-07-2016,04:27:00,3,Tuesday,Late Night,TRUE
1804,Airport,18,Trip Completed,12-07-2016 09:12,12-07-2016 09:57,12-07-2016,09:12:00,12-07-2016,09:57:00,9,Tuesday,Morning,TRUE
1949,Airport,18,Trip Completed,12-07-2016 11:32,12-07-2016 12:13,12-07-2016,11:32:00,12-07-2016,12:13:00,11,Tuesday,Morning,TRUE
2713,City,18,Trip Completed,13-07-2016 01:46,13-07-2016 02:37,13-07-2016,01:46:42,13-07-2016,02:37:08,1,Wednesday,Late Night,TRUE
2845,City,18,Trip Completed,13-07-2016 05:28,13-07-2016 06:10,13-07-2016,05:28:29,13-07-2016,06:10:40,5,Wednesday,Early Morning,TRUE
3943,Airport,18,Trip Completed,13-07-2016 22:35,13-07-2016 23:33,13-07-2016,22:35:38,13-07-2016,23:33:20,22,Wednesday,Night,TRUE
4792,City,18,Trip Completed,14-07-2016 16:47,14-07-2016 17:34,14-07-2016,16:47:15,14-07-2016,17:34:39,16,Thursday,Evening,TRUE
5207,Airport,18,Trip Completed,14-07-2016 20:57,14-07-2016 21:56,14-07-2016,20:57:41,14-07-2016,21:56:21,20,Thursday,Night,TRUE
