Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Time,Drop Time,Request Hour,Request Day,Trip Completed,Date
1934,Airport,3,Trip Completed,12-07-2016 11:17,07-12-2016 12:23,11:17:00,12:23:00,11,Tuesday,TRUE,12-07-2016
2083,Airport,3,Trip Completed,12-07-2016 15:46,07-12-2016 16:40,15:46:00,16:40:00,15,Tuesday,TRUE,12-07-2016
2211,Airport,3,Trip Completed,12-07-2016 18:00,07-12-2016 18:28,18:00:00,18:28:00,18,Tuesday,TRUE,12-07-2016
3096,Airport,3,Trip Completed,13-07-2016 08:17,13-07-2016 09:22,08:17:29,09:22:37,8,Wednesday,TRUE,13-07-2016
3881,Airport,3,Trip Completed,13-07-2016 21:54,13-07-2016 22:51,21:54:18,22:51:23,21,Wednesday,TRUE,13-07-2016
5254,City,3,Trip Completed,14-07-2016 21:23,14-07-2016 22:25,21:23:03,22:25:19,21,Thursday,TRUE,14-07-2016
5434,City,3,Trip Completed,15-07-2016 02:41,15-07-2016 03:24,02:41:38,03:24:43,2,Friday,TRUE,15-07-2016
5916,City,3,Trip Completed,15-07-2016 10:00,15-07-2016 10:53,10:00:43,10:53:06,10,Friday,TRUE,15-07-2016
669,City,4,Trip Completed,11-07-2016 13:08,07-11-2016 13:49,13:08:00,13:49:00,13,Monday,TRUE,11-07-2016
1567,Airport,4,Trip Completed,12-07-2016 06:21,07-12-2016 07:10,06:21:00,07:10:00,6,Tuesday,TRUE,12-07-2016
1826,City,4,Trip Completed,12-07-2016 09:27,07-12-2016 10:27,09:27:00,10:27:00,9,Tuesday,TRUE,12-07-2016
2102,City,4,Trip Completed,12-07-2016 16:09,07-12-2016 17:01,16:09:00,17:01:00,16,Tuesday,TRUE,12-07-2016
2847,Airport,4,Trip Completed,13-07-2016 05:34,13-07-2016 06:09,05:34:20,06:09:59,5,Wednesday,TRUE,13-07-2016
3722,Airport,4,Trip Completed,13-07-2016 19:57,13-07-2016 20:32,19:57:59,20:32:04,19,Wednesday,TRUE,13-07-2016
4075,City,4,Trip Completed,14-07-2016 02:17,14-07-2016 03:21,02:17:35,03:21:38,2,Thursday,TRUE,14-07-2016
4686,City,4,Trip Completed,14-07-2016 13:01,14-07-2016 13:45,13:01:10,13:45:28,13,Thursday,TRUE,14-07-2016
5771,Airport,4,Trip Completed,15-07-2016 08:30,15-07-2016 09:37,08:30:06,09:37:20,8,Friday,TRUE,15-07-2016
6106,Airport,4,Trip Completed,15-07-2016 15:01,15-07-2016 15:47,15:01:20,15:47:31,15,Friday,TRUE,15-07-2016
312,City,5,Trip Completed,11-07-2016 07:27,07-11-2016 08:31,07:27:00,08:31:00,7,Monday,TRUE,11-07-2016
577,Airport,5,Trip Completed,11-07-2016 11:03,07-11-2016 12:01,11:03:00,12:01:00,11,Monday,TRUE,11-07-2016
1179,City,5,Trip Completed,11-07-2016 20:58,07-11-2016 21:45,20:58:00,21:45:00,20,Monday,TRUE,11-07-2016
1756,Airport,5,Trip Completed,12-07-2016 08:40,07-12-2016 09:23,08:40:00,09:23:00,8,Tuesday,TRUE,12-07-2016
2052,City,5,Trip Completed,12-07-2016 14:48,07-12-2016 15:50,14:48:00,15:50:00,14,Tuesday,TRUE,12-07-2016
2559,City,5,Trip Completed,12-07-2016 21:32,07-12-2016 22:29,21:32:00,22:29:00,21,Tuesday,TRUE,12-07-2016
3014,City,5,Trip Completed,13-07-2016 07:28,13-07-2016 08:29,07:28:14,08:29:47,7,Wednesday,TRUE,13-07-2016
3317,City,5,Trip Completed,13-07-2016 12:14,13-07-2016 12:46,12:14:27,12:46:38,12,Wednesday,TRUE,13-07-2016
4297,City,5,Trip Completed,14-07-2016 06:43,14-07-2016 07:49,06:43:01,07:49:38,6,Thursday,TRUE,14-07-2016
5857,Airport,5,Trip Completed,15-07-2016 09:08,15-07-2016 10:07,09:08:50,10:07:07,9,Friday,TRUE,15-07-2016
6690,Airport,5,Trip Completed,15-07-2016 22:41,15-07-2016 23:51,22:41:41,23:51:00,22,Friday,TRUE,15-07-2016
1517,Airport,6,Trip Completed,12-07-2016 05:45,07-12-2016 06:28,05:45:00,06:28:00,5,Tuesday,TRUE,12-07-2016
1999,Airport,6,Trip Completed,12-07-2016 13:02,07-12-2016 13:51,13:02:00,13:51:00,13,Tuesday,TRUE,12-07-2016
2960,Airport,6,Trip Completed,13-07-2016 06:50,13-07-2016 07:40,06:50:33,07:40:35,6,Wednesday,TRUE,13-07-2016
3882,City,6,Trip Completed,13-07-2016 21:53,13-07-2016 22:45,21:53:03,22:45:24,21,Wednesday,TRUE,13-07-2016
4081,Airport,6,Trip Completed,14-07-2016 02:37,14-07-2016 03:30,02:37:14,03:30:27,2,Thursday,TRUE,14-07-2016
4740,City,6,Trip Completed,14-07-2016 14:50,14-07-2016 15:38,14:50:07,15:38:14,14,Thursday,TRUE,14-07-2016
5270,City,6,Trip Completed,14-07-2016 21:33,14-07-2016 22:25,21:33:55,22:25:43,21,Thursday,TRUE,14-07-2016
6758,Airport,6,Trip Completed,15-07-2016 00:03,15-07-2016 01:07,00:03:39,01:07:39,0,Friday,TRUE,15-07-2016
5741,City,6,Trip Completed,15-07-2016 07:52,15-07-2016 08:38,07:52:51,08:38:55,7,Friday,TRUE,15-07-2016
6087,Airport,6,Trip Completed,15-07-2016 14:28,15-07-2016 15:33,14:28:50,15:33:53,14,Friday,TRUE,15-07-2016
1039,City,7,Trip Completed,11-07-2016 19:31,07-11-2016 20:41,19:31:00,20:41:00,19,Monday,TRUE,11-07-2016
1273,Airport,7,Trip Completed,11-07-2016 22:07,07-11-2016 23:12,22:07:00,23:12:00,22,Monday,TRUE,11-07-2016
2480,City,7,Trip Completed,12-07-2016 20:39,07-12-2016 21:28,20:39:00,21:28:00,20,Tuesday,TRUE,12-07-2016
4105,City,7,Trip Completed,14-07-2016 03:39,14-07-2016 04:39,03:39:38,04:39:04,3,Thursday,TRUE,14-07-2016
4509,City,7,Trip Completed,14-07-2016 09:11,14-07-2016 10:17,09:11:13,10:17:01,9,Thursday,TRUE,14-07-2016
4986,Airport,7,Trip Completed,14-07-2016 18:52,14-07-2016 19:50,18:52:32,19:50:57,18,Thursday,TRUE,14-07-2016
5898,City,7,Trip Completed,15-07-2016 09:50,15-07-2016 10:40,09:50:28,10:40:39,9,Friday,TRUE,15-07-2016
6142,Airport,7,Trip Completed,15-07-2016 15:50,15-07-2016 16:36,15:50:15,16:36:56,15,Friday,TRUE,15-07-2016
380,Airport,8,Trip Completed,11-07-2016 08:18,07-11-2016 09:18,08:18:00,09:18:00,8,Monday,TRUE,11-07-2016
1050,Airport,8,Trip Completed,11-07-2016 19:39,07-11-2016 20:30,19:39:00,20:30:00,19,Monday,TRUE,11-07-2016
1769,City,8,Trip Completed,12-07-2016 08:57,07-12-2016 09:24,08:57:00,09:24:00,8,Tuesday,TRUE,12-07-2016
2520,City,8,Trip Completed,12-07-2016 21:05,07-12-2016 22:20,21:05:00,22:20:00,21,Tuesday,TRUE,12-07-2016
3265,Airport,8,Trip Completed,13-07-2016 10:22,13-07-2016 11:07,10:22:07,11:07:02,10,Wednesday,TRUE,13-07-2016
4648,City,8,Trip Completed,14-07-2016 11:55,14-07-2016 12:59,11:55:10,12:59:34,11,Thursday,TRUE,14-07-2016
449,Airport,9,Trip Completed,11-07-2016 09:08,07-11-2016 09:52,09:08:00,09:52:00,9,Monday,TRUE,11-07-2016
846,Airport,9,Trip Completed,11-07-2016 17:46,07-11-2016 18:52,17:46:00,18:52:00,17,Monday,TRUE,11-07-2016
1346,Airport,9,Trip Completed,11-07-2016 23:39,07-12-2016 00:23,23:39:00,00:23:00,23,Monday,TRUE,11-07-2016
1474,Airport,9,Trip Completed,12-07-2016 05:13,07-12-2016 05:56,05:13:00,05:56:00,5,Tuesday,TRUE,12-07-2016
2240,City,9,Trip Completed,12-07-2016 18:20,07-12-2016 18:54,18:20:00,18:54:00,18,Tuesday,TRUE,12-07-2016
3072,Airport,9,Trip Completed,13-07-2016 08:04,13-07-2016 08:36,08:04:57,08:36:37,8,Wednesday,TRUE,13-07-2016
3459,Airport,9,Trip Completed,13-07-2016 17:03,13-07-2016 17:31,17:03:30,17:31:49,17,Wednesday,TRUE,13-07-2016
3774,Airport,9,Trip Completed,13-07-2016 20:41,13-07-2016 21:27,20:41:24,21:27:29,20,Wednesday,TRUE,13-07-2016
4023,City,9,Trip Completed,13-07-2016 23:58,14-07-2016 00:58,23:58:41,00:58:39,23,Wednesday,TRUE,13-07-2016
4117,City,9,Trip Completed,14-07-2016 04:21,14-07-2016 05:07,04:21:42,05:07:07,4,Thursday,TRUE,14-07-2016
4880,Airport,9,Trip Completed,14-07-2016 17:58,14-07-2016 19:02,17:58:46,19:02:42,17,Thursday,TRUE,14-07-2016
5568,Airport,9,Trip Completed,15-07-2016 05:47,15-07-2016 06:25,05:47:49,06:25:49,5,Friday,TRUE,15-07-2016
5994,Airport,9,Trip Completed,15-07-2016 11:51,15-07-2016 12:32,11:51:16,12:32:12,11,Friday,TRUE,15-07-2016
1809,Airport,10,Trip Completed,12-07-2016 09:13,07-12-2016 10:01,09:13:00,10:01:00,9,Tuesday,TRUE,12-07-2016
2064,Airport,10,Trip Completed,12-07-2016 15:08,07-12-2016 16:14,15:08:00,16:14:00,15,Tuesday,TRUE,12-07-2016
3210,City,10,Trip Completed,13-07-2016 09:47,13-07-2016 10:52,09:47:06,10:52:37,9,Wednesday,TRUE,13-07-2016
4350,City,10,Trip Completed,14-07-2016 07:24,14-07-2016 08:22,07:24:43,08:22:09,7,Thursday,TRUE,14-07-2016
4713,City,10,Trip Completed,14-07-2016 13:31,14-07-2016 14:10,13:31:24,14:10:56,13,Thursday,TRUE,14-07-2016
5629,Airport,10,Trip Completed,15-07-2016 06:33,15-07-2016 07:19,06:33:00,07:19:53,6,Friday,TRUE,15-07-2016
6157,Airport,10,Trip Completed,15-07-2016 16:32,15-07-2016 17:44,16:32:51,17:44:44,16,Friday,TRUE,15-07-2016
2030,City,11,Trip Completed,12-07-2016 14:11,07-12-2016 15:02,14:11:00,15:02:00,14,Tuesday,TRUE,12-07-2016
3226,City,11,Trip Completed,13-07-2016 10:00,13-07-2016 11:02,10:00:17,11:02:52,10,Wednesday,TRUE,13-07-2016
3353,City,11,Trip Completed,13-07-2016 13:29,13-07-2016 14:09,13:29:44,14:09:00,13,Wednesday,TRUE,13-07-2016
4293,City,11,Trip Completed,14-07-2016 06:42,14-07-2016 07:12,06:42:36,07:12:41,6,Thursday,TRUE,14-07-2016
4936,City,11,Trip Completed,14-07-2016 18:22,14-07-2016 19:14,18:22:17,19:14:36,18,Thursday,TRUE,14-07-2016
5661,Airport,11,Trip Completed,15-07-2016 07:08,15-07-2016 07:59,07:08:50,07:59:00,7,Friday,TRUE,15-07-2016
5778,City,11,Trip Completed,15-07-2016 08:22,15-07-2016 09:13,08:22:03,09:13:04,8,Friday,TRUE,15-07-2016
6425,Airport,11,Trip Completed,15-07-2016 19:46,15-07-2016 20:26,19:46:40,20:26:51,19,Friday,TRUE,15-07-2016
45,Airport,12,Trip Completed,11-07-2016 03:17,07-11-2016 04:09,03:17:00,04:09:00,3,Monday,TRUE,11-07-2016
264,City,12,Trip Completed,11-07-2016 06:51,07-11-2016 07:40,06:51:00,07:40:00,6,Monday,TRUE,11-07-2016
1183,City,12,Trip Completed,11-07-2016 21:05,07-11-2016 21:38,21:05:00,21:38:00,21,Monday,TRUE,11-07-2016
1536,Airport,12,Trip Completed,12-07-2016 05:59,07-12-2016 06:59,05:59:00,06:59:00,5,Tuesday,TRUE,12-07-2016
2437,City,12,Trip Completed,12-07-2016 20:18,07-12-2016 21:26,20:18:00,21:26:00,20,Tuesday,TRUE,12-07-2016
2641,Airport,12,Trip Completed,12-07-2016 22:28,07-12-2016 23:05,22:28:00,23:05:00,22,Tuesday,TRUE,12-07-2016
4077,Airport,12,Trip Completed,14-07-2016 02:14,14-07-2016 03:13,02:14:15,03:13:09,2,Thursday,TRUE,14-07-2016
4610,City,12,Trip Completed,14-07-2016 10:35,14-07-2016 11:39,10:35:14,11:39:01,10,Thursday,TRUE,14-07-2016
5066,Airport,12,Trip Completed,14-07-2016 19:31,14-07-2016 20:14,19:31:20,20:14:03,19,Thursday,TRUE,14-07-2016
5666,Airport,12,Trip Completed,15-07-2016 07:04,15-07-2016 08:12,07:04:55,08:12:37,7,Friday,TRUE,15-07-2016
5923,City,12,Trip Completed,15-07-2016 10:07,15-07-2016 10:50,10:07:49,10:50:50,10,Friday,TRUE,15-07-2016
6367,City,12,Trip Completed,15-07-2016 19:04,15-07-2016 19:46,19:04:46,19:46:04,19,Friday,TRUE,15-07-2016
155,City,13,Trip Completed,11-07-2016 05:32,07-11-2016 06:28,05:32:00,06:28:00,5,Monday,TRUE,11-07-2016
310,Airport,13,Trip Completed,11-07-2016 07:24,07-11-2016 08:28,07:24:00,08:28:00,7,Monday,TRUE,11-07-2016
607,City,13,Trip Completed,11-07-2016 11:51,07-11-2016 12:42,11:51:00,12:42:00,11,Monday,TRUE,11-07-2016
1012,City,13,Trip Completed,11-07-2016 19:15,07-11-2016 19:57,19:15:00,19:57:00,19,Monday,TRUE,11-07-2016
1696,Airport,13,Trip Completed,12-07-2016 08:01,07-12-2016 08:42,08:01:00,08:42:00,8,Tuesday,TRUE,12-07-2016
3076,City,13,Trip Completed,13-07-2016 08:09,13-07-2016 09:12,08:09:04,09:12:19,8,Wednesday,TRUE,13-07-2016
4198,Airport,13,Trip Completed,14-07-2016 05:32,14-07-2016 06:45,05:32:14,06:45:32,5,Thursday,TRUE,14-07-2016
4627,City,13,Trip Completed,14-07-2016 11:13,14-07-2016 12:00,11:13:19,12:00:12,11,Thursday,TRUE,14-07-2016
5289,City,13,Trip Completed,14-07-2016 21:43,14-07-2016 22:24,21:43:24,22:24:13,21,Thursday,TRUE,14-07-2016
5495,Airport,13,Trip Completed,15-07-2016 05:00,15-07-2016 06:02,05:00:13,06:02:27,5,Friday,TRUE,15-07-2016
6656,Airport,13,Trip Completed,15-07-2016 22:08,15-07-2016 22:41,22:08:42,22:41:18,22,Friday,TRUE,15-07-2016
139,Airport,14,Trip Completed,11-07-2016 05:21,07-11-2016 06:09,05:21:00,06:09:00,5,Monday,TRUE,11-07-2016
215,City,14,Trip Completed,11-07-2016 06:15,07-11-2016 07:07,06:15:00,07:07:00,6,Monday,TRUE,11-07-2016
1816,City,14,Trip Completed,12-07-2016 09:24,07-12-2016 10:07,09:24:00,10:07:00,9,Tuesday,TRUE,12-07-2016
2505,Airport,14,Trip Completed,12-07-2016 21:03,07-12-2016 22:14,21:03:00,22:14:00,21,Tuesday,TRUE,12-07-2016
3346,City,14,Trip Completed,13-07-2016 13:01,13-07-2016 13:55,13:01:42,13:55:59,13,Wednesday,TRUE,13-07-2016
5294,City,14,Trip Completed,14-07-2016 21:45,14-07-2016 22:16,21:45:50,22:16:40,21,Thursday,TRUE,14-07-2016
6226,Airport,14,Trip Completed,15-07-2016 17:34,15-07-2016 18:33,17:34:25,18:33:13,17,Friday,TRUE,15-07-2016
6733,Airport,14,Trip Completed,15-07-2016 23:32,16-07-2016 00:37,23:32:44,00:37:46,23,Friday,TRUE,15-07-2016
1027,Airport,15,Trip Completed,11-07-2016 19:18,07-11-2016 20:24,19:18:00,20:24:00,19,Monday,TRUE,11-07-2016
2675,Airport,15,Trip Completed,12-07-2016 23:43,13-07-2016 00:35,23:43:00,00:35:12,23,Tuesday,TRUE,12-07-2016
3200,City,15,Trip Completed,13-07-2016 09:39,13-07-2016 10:30,09:39:44,10:30:58,9,Wednesday,TRUE,13-07-2016
3865,City,15,Trip Completed,13-07-2016 21:52,13-07-2016 22:21,21:52:05,22:21:15,21,Wednesday,TRUE,13-07-2016
4468,City,15,Trip Completed,14-07-2016 08:42,14-07-2016 09:22,08:42:46,09:22:01,8,Thursday,TRUE,14-07-2016
5163,Airport,15,Trip Completed,14-07-2016 20:34,14-07-2016 21:05,20:34:30,21:05:18,20,Thursday,TRUE,14-07-2016
6009,City,15,Trip Completed,15-07-2016 12:22,15-07-2016 13:25,12:22:35,13:25:27,12,Friday,TRUE,15-07-2016
6448,Airport,15,Trip Completed,15-07-2016 20:02,15-07-2016 20:40,20:02:54,20:40:45,20,Friday,TRUE,15-07-2016
591,City,16,Trip Completed,11-07-2016 11:25,07-11-2016 12:31,11:25:00,12:31:00,11,Monday,TRUE,11-07-2016
709,City,16,Trip Completed,11-07-2016 14:16,07-11-2016 15:03,14:16:00,15:03:00,14,Monday,TRUE,11-07-2016
1167,Airport,16,Trip Completed,11-07-2016 20:50,07-11-2016 21:52,20:50:00,21:52:00,20,Monday,TRUE,11-07-2016
2661,Airport,16,Trip Completed,12-07-2016 23:23,13-07-2016 00:27,23:23:00,00:27:21,23,Tuesday,TRUE,12-07-2016
2808,City,16,Trip Completed,13-07-2016 05:05,13-07-2016 05:56,05:05:16,05:56:11,5,Wednesday,TRUE,13-07-2016
3258,Airport,16,Trip Completed,13-07-2016 10:12,13-07-2016 10:45,10:12:51,10:45:28,10,Wednesday,TRUE,13-07-2016
3413,Airport,16,Trip Completed,13-07-2016 15:32,13-07-2016 16:45,15:32:01,16:45:44,15,Wednesday,TRUE,13-07-2016
3939,Airport,16,Trip Completed,13-07-2016 22:26,13-07-2016 22:55,22:26:26,22:55:54,22,Wednesday,TRUE,13-07-2016
4125,City,16,Trip Completed,14-07-2016 04:37,14-07-2016 05:46,04:37:11,05:46:29,4,Thursday,TRUE,14-07-2016
4457,City,16,Trip Completed,14-07-2016 08:36,14-07-2016 09:19,08:36:24,09:19:20,8,Thursday,TRUE,14-07-2016
4728,City,16,Trip Completed,14-07-2016 14:04,14-07-2016 15:06,14:04:13,15:06:40,14,Thursday,TRUE,14-07-2016
5347,Airport,16,Trip Completed,14-07-2016 22:51,14-07-2016 23:53,22:51:47,23:53:42,22,Thursday,TRUE,14-07-2016
6147,City,16,Trip Completed,15-07-2016 16:11,15-07-2016 17:30,16:11:02,17:30:08,16,Friday,TRUE,15-07-2016
6496,Airport,16,Trip Completed,15-07-2016 20:33,15-07-2016 21:32,20:33:00,21:32:49,20,Friday,TRUE,15-07-2016
634,City,17,Trip Completed,11-07-2016 12:25,07-11-2016 13:06,12:25:00,13:06:00,12,Monday,TRUE,11-07-2016
939,Airport,17,Trip Completed,11-07-2016 18:25,07-11-2016 19:26,18:25:00,19:26:00,18,Monday,TRUE,11-07-2016
2628,Airport,17,Trip Completed,12-07-2016 22:10,07-12-2016 23:25,22:10:00,23:25:00,22,Tuesday,TRUE,12-07-2016
3021,City,17,Trip Completed,13-07-2016 07:33,13-07-2016 08:26,07:33:20,08:26:07,7,Wednesday,TRUE,13-07-2016
4743,City,17,Trip Completed,14-07-2016 14:54,14-07-2016 15:39,14:54:16,15:39:03,14,Thursday,TRUE,14-07-2016
4981,City,17,Trip Completed,14-07-2016 18:47,14-07-2016 19:43,18:47:42,19:43:44,18,Thursday,TRUE,14-07-2016
5367,Airport,17,Trip Completed,14-07-2016 23:35,15-07-2016 00:25,23:35:34,00:25:26,23,Thursday,TRUE,14-07-2016
5471,Airport,17,Trip Completed,15-07-2016 04:48,15-07-2016 05:47,04:48:57,05:47:13,4,Friday,TRUE,15-07-2016
5988,Airport,17,Trip Completed,15-07-2016 11:48,15-07-2016 12:55,11:48:32,12:55:02,11,Friday,TRUE,15-07-2016
6477,Airport,17,Trip Completed,15-07-2016 20:21,15-07-2016 21:00,20:21:26,21:00:31,20,Friday,TRUE,15-07-2016
499,City,18,Trip Completed,11-07-2016 09:39,07-11-2016 10:16,09:39:00,10:16:00,9,Monday,TRUE,11-07-2016
1147,Airport,18,Trip Completed,11-07-2016 20:42,07-11-2016 21:18,20:42:00,21:18:00,20,Monday,TRUE,11-07-2016
1410,Airport,18,Trip Completed,12-07-2016 03:14,07-12-2016 04:27,03:14:00,04:27:00,3,Tuesday,TRUE,12-07-2016
1804,Airport,18,Trip Completed,12-07-2016 09:12,07-12-2016 09:57,09:12:00,09:57:00,9,Tuesday,TRUE,12-07-2016
1949,Airport,18,Trip Completed,12-07-2016 11:32,07-12-2016 12:13,11:32:00,12:13:00,11,Tuesday,TRUE,12-07-2016
2713,City,18,Trip Completed,13-07-2016 01:46,13-07-2016 02:37,01:46:42,02:37:08,1,Wednesday,TRUE,13-07-2016
2845,City,18,Trip Completed,13-07-2016 05:28,13-07-2016 06:10,05:28:29,06:10:40,5,Wednesday,TRUE,13-07-2016
3943,Airport,18,Trip Completed,13-07-2016 22:35,13-07-2016 23:33,22:35:38,23:33:20,22,Wednesday,TRUE,13-07-2016
4792,City,18,Trip Completed,14-07-2016 16:47,14-07-2016 17:34,16:47:15,17:34:39,16,Thursday,TRUE,14-07-2016
5207,Airport,18,Trip Completed,14-07-2016 20:57,14-07-2016 21:56,20:57:41,21:56:21,20,Thursday,TRUE,14-07-2016
5890,City,18,Trip Completed,15-07-2016 09:43,15-07-2016 10:55,09:43:57,10:55:22,9,Friday,TRUE,15-07-2016
494,City,19,Trip Completed,11-07-2016 09:36,07-11-2016 10:02,09:36:00,10:02:00,9,Monday,TRUE,11-07-2016
1485,City,19,Trip Completed,12-07-2016 05:21,07-12-2016 06:35,05:21:00,06:35:00,5,Tuesday,TRUE,12-07-2016
2042,City,19,Trip Completed,12-07-2016 14:30,07-12-2016 15:09,14:30:00,15:09:00,14,Tuesday,TRUE,12-07-2016
2561,Airport,19,Trip Completed,12-07-2016 21:29,07-12-2016 22:44,21:29:00,22:44:00,21,Tuesday,TRUE,12-07-2016
3813,Airport,19,Trip Completed,13-07-2016 21:06,13-07-2016 21:46,21:06:57,21:46:24,21,Wednesday,TRUE,13-07-2016
4260,Airport,19,Trip Completed,14-07-2016 06:11,14-07-2016 06:59,06:11:51,06:59:46,6,Thursday,TRUE,14-07-2016
4395,City,19,Trip Completed,14-07-2016 08:00,14-07-2016 08:54,08:00:15,08:54:39,8,Thursday,TRUE,14-07-2016
5919,City,19,Trip Completed,15-07-2016 10:03,15-07-2016 10:59,10:03:42,10:59:27,10,Friday,TRUE,15-07-2016
6002,Airport,19,Trip Completed,15-07-2016 12:04,15-07-2016 12:53,12:04:15,12:53:36,12,Friday,TRUE,15-07-2016
468,City,20,Trip Completed,11-07-2016 09:20,07-11-2016 10:05,09:20:00,10:05:00,9,Monday,TRUE,11-07-2016
693,Airport,20,Trip Completed,11-07-2016 13:51,07-11-2016 15:01,13:51:00,15:01:00,13,Monday,TRUE,11-07-2016
1178,City,20,Trip Completed,11-07-2016 21:05,07-11-2016 22:06,21:05:00,22:06:00,21,Monday,TRUE,11-07-2016
2103,City,20,Trip Completed,12-07-2016 16:08,07-12-2016 17:18,16:08:00,17:18:00,16,Tuesday,TRUE,12-07-2016
2292,Airport,20,Trip Completed,12-07-2016 18:46,07-12-2016 19:23,18:46:00,19:23:00,18,Tuesday,TRUE,12-07-2016
3339,City,20,Trip Completed,13-07-2016 12:40,13-07-2016 13:30,12:40:58,13:30:26,12,Wednesday,TRUE,13-07-2016
3694,City,20,Trip Completed,13-07-2016 19:33,13-07-2016 20:35,19:33:19,20:35:08,19,Wednesday,TRUE,13-07-2016
4469,City,20,Trip Completed,14-07-2016 08:45,14-07-2016 09:48,08:45:13,09:48:08,8,Thursday,TRUE,14-07-2016
6432,City,20,Trip Completed,15-07-2016 19:50,15-07-2016 20:30,19:50:57,20:30:05,19,Friday,TRUE,15-07-2016
1895,City,21,Trip Completed,12-07-2016 10:20,07-12-2016 10:52,10:20:00,10:52:00,10,Tuesday,TRUE,12-07-2016
1981,Airport,21,Trip Completed,12-07-2016 12:23,07-12-2016 12:56,12:23:00,12:56:00,12,Tuesday,TRUE,12-07-2016
3744,Airport,21,Trip Completed,13-07-2016 20:28,13-07-2016 21:22,20:28:11,21:22:42,20,Wednesday,TRUE,13-07-2016
4433,Airport,21,Trip Completed,14-07-2016 08:26,14-07-2016 09:12,08:26:32,09:12:02,8,Thursday,TRUE,14-07-2016
6039,Airport,21,Trip Completed,15-07-2016 13:11,15-07-2016 13:38,13:11:04,13:38:01,13,Friday,TRUE,15-07-2016
6543,City,21,Trip Completed,15-07-2016 20:54,15-07-2016 22:12,20:54:20,22:12:36,20,Friday,TRUE,15-07-2016
110,City,22,Trip Completed,11-07-2016 05:05,07-11-2016 06:06,05:05:00,06:06:00,5,Monday,TRUE,11-07-2016
362,City,22,Trip Completed,11-07-2016 08:01,07-11-2016 09:18,08:01:00,09:18:00,8,Monday,TRUE,11-07-2016
666,Airport,22,Trip Completed,11-07-2016 13:02,07-11-2016 13:45,13:02:00,13:45:00,13,Monday,TRUE,11-07-2016
926,City,22,Trip Completed,11-07-2016 18:28,07-11-2016 19:34,18:28:00,19:34:00,18,Monday,TRUE,11-07-2016
1180,Airport,22,Trip Completed,11-07-2016 21:01,07-11-2016 22:14,21:01:00,22:14:00,21,Monday,TRUE,11-07-2016
